Postcode,School count,Education sector,School number,Name,Town/city,Longitude,Latitude,medianSoldPrice,numberSold
3183,5,Independent,96.0,Caulfield Grammar School,ST KILDA EAST,145.00488700000002,-37.877377,1670000.0,57.0
3183,5,Independent,1533.0,Yeshivah College,ST KILDA EAST,145.000341,-37.868122,1670000.0,57.0
3183,5,Independent,1561.0,Beth Rivkah Ladies College,ST KILDA EAST,145.00083500000002,-37.869281,1670000.0,57.0
3184,4,Government,3942.0,Elwood Primary School,Elwood,144.988364,-37.881505,2050000.0,122.0
3184,4,Government,7810.0,Elwood College,Elwood,144.985203,-37.88232,2050000.0,122.0
3184,4,Catholic,1070.0,St Columba's School,ELWOOD,144.981123,-37.882529999999996,2050000.0,122.0
3184,4,Independent,2019.0,Yesodei HaTorah College,ELWOOD,144.983491,-37.873227,2050000.0,122.0
3185,3,Independent,1515.0,Adass Israel School,ELSTERNWICK,145.008205,-37.883899,1681000.0,10.0
3185,3,Independent,1609.0,Leibler Yavneh College,ELSTERNWICK,145.006626,-37.892871,1681000.0,10.0
3185,3,Independent,1729.0,Sholem Aleichem College,ELSTERNWICK,145.001203,-37.882289,1681000.0,10.0
3187,4,Government,3897.0,Gardenvale Primary School,Brighton East,145.015034,-37.904678999999994,2001000.0,241.0
3187,4,Government,7650.0,Brighton Secondary College,Brighton East,145.019119,-37.920156,2001000.0,241.0
3187,4,Independent,1025.0,St Leonard's College,BRIGHTON EAST,145.007554,-37.928631,2001000.0,241.0
3187,4,Catholic,1221.0,St Finbar's School,BRIGHTON EAST,145.017464,-37.916284000000005,2001000.0,241.0
3188,3,Government,3754.0,Hampton Primary School,Hampton,145.003476,-37.93339,1285000.0,100.0
3188,3,Government,4928.0,Berendale School,Hampton East,145.031808,-37.938959000000004,1285000.0,100.0
3188,3,Independent,2232.0,Tombolo Academy,HAMPTON,145.023502,-37.938465,1285000.0,100.0
3189,5,Government,1111.0,Moorabbin Primary School,Moorabbin,145.039587,-37.94202,1136000.0,69.0
3189,5,Government,4910.0,Southmoor Primary School,Moorabbin,145.05696899999998,-37.941178,1136000.0,69.0
3189,5,Government,5240.0,Bayside Special Developmental School,Moorabbin,145.056804,-37.943358,1136000.0,69.0
3189,5,Government,6363.0,Avenues Education,Moorabbin,145.036279,-37.934579,1136000.0,69.0
3189,5,Catholic,1570.0,St Catherine's School,MOORABBIN,145.052171,-37.938224,1136000.0,69.0
3190,1,Catholic,1503.0,St Agnes' School,HIGHETT,145.031826,-37.946096000000004,1260000.0,165.0
3191,3,Government,267.0,Sandringham Primary School,Sandringham,145.02342,-37.951358,1835000.0,118.0
3191,3,Government,4429.0,Sandringham East Primary School,Sandringham,145.022221,-37.956668,1835000.0,118.0
3191,3,Government,8739.0,Sandringham College,Sandringham,145.023034,-37.956709000000004,1835000.0,118.0
3192,6,Government,84.0,Cheltenham Primary School,Cheltenham,145.05463500000002,-37.968608,1050000.0,268.0
3192,6,Government,4754.0,Cheltenham East Primary School,Cheltenham,145.068353,-37.965256,1050000.0,268.0
3192,6,Government,5101.0,Kingston Heath Primary School,Cheltenham,145.07907,-37.962778,1050000.0,268.0
3192,6,Government,5422.0,Le Page Primary School,Cheltenham,145.0681429,-37.95926069,1050000.0,268.0
